Encounter,Beach LB,Beach UB,Jungle - No Undead LB,Jungle - No Undead UB,Jungle - Lesser Undead LB,Jungle - Lesser Undead UB,Jungle - Greater Undead LB,Jungle - Greater Undead UB,Mountains LB,Mountains UB,Rivers/Lake LB,Rivers/Lake UB,Ruins LB,Ruins UB,Swamp LB,Swamp UB,Wasteland LB,Wasteland UB
Aarakocra,1,7,,,,,,,1,11,1,3,,,,,,
Albino dwarves,,,1,,1,,,,12,17,,,1,2,,,,
Aldani,,,,,,,,,,,4,7,,,1,10,,
Almiraj,,,2,,,,,,,,,,3,,,,,
Apes,,,3,4,,,,,18,20,,,4,6,,,,
Artus Cimber,8,,5,,2,,1,,,,8,9,7,8,11,,1,
Assassin vines,,,6,7,3,5,2,,,,10,,9,12,12,14,,
Axe beaks,,,8,,6,,,,,,,,,,,,,
Baboons,,,9,,,,,,21,22,,,13,14,,,,
Cache,9,10,10,11,7,8,3,5,23,25,11,12,15,18,,,2,5
Cannibals,,,12,13,9,10,,,,,13,15,,,,,,
Chwinga,11,12,14,15,,,,,26,27,16,18,19,,15,16,,
Crocodiles,,,,,,,,,,,19,23,,,17,21,,
Cyclops,,,16,,,,,,28,29,,,20,21,,,,
"Dinosaurs, allosaurus",13,14,17,,11,,6,,,,,,,,22,,,
"Dinosaurs, ankylosaurus",,,18,,12,,7,,,,,,,,23,,,
"Dinosaurs, brontosaurus",,,19,,,,,,,,24,,,,24,25,,
"Dinosaurs, deinonychus",,,20,21,13,,,,,,,,22,,,,,
"Dinosaurs, dimetrodon",15,16,,,,,,,,,25,26,,,26,30,,
"Dinosaurs, hadrosaurus",,,22,23,14,,8,,,,27,28,,,31,33,,
"Dinosaurs, plesiosaurus",17,21,,,,,,,,,29,31,,,,,,
"Dinosaurs, pteranodon",22,28,24,,15,,9,,30,38,32,34,,,34,35,,
"Dinosaurs, quetzalcoatlus",29,31,,,,,,,39,42,35,36,,,,,,
"Dinosaurs, stegosaurus",,,25,26,16,,10,,,,,,,,,,,
"Dinosaurs, triceratops",,,27,28,17,,,,,,,,,,,,,
"Dinosaurs, tyrannosaurus",,,29,30,18,,11,12,,,,,,,,,,
"Dinosaurs, velociraptor",32,37,31,35,,,13,14,,,,,23,,,,,
"Dragon, faerie",,,36,,,,,,,,37,,,,,,,
"Dragon, red",38,40,,,,,,,43,45,,,,,,,6,9
Eblis,,,37,,,,,,,,38,40,,,36,39,,
Emerald Enclave,41,42,38,42,19,20,15,16,46,47,41,43,24,26,,,,
"Explorer, dead",,,43,44,21,22,17,20,48,50,44,45,27,28,40,41,10,18
Explorers,43,46,45,,23,,21,,51,53,46,49,29,31,42,45,19,
Firenewts,,,,,,,,,,,,,,,,,20,37
Flail snail,,,46,,,,,,,,,,32,33,46,47,,
Flaming Fist,47,49,47,50,24,26,22,23,,,50,51,34,36,,,,
Flying monkeys,50,52,51,,,,,,54,59,52,53,37,38,,,,
Flying snakes,53,55,52,53,27,,,,60,61,54,55,39,,48,50,,
Frost giants,56,57,54,55,,,,,,,,,40,41,,,,
Giant boars,,,56,,,,,,62,,,,,,,,,
Giant crocodile,,,,,,,,,,,56,58,,,51,53,,
Giant frogs,,,57,,,,,,,,59,60,,,54,56,,
Giant lizards,58,63,58,,28,,,,63,,,,42,,57,58,,
Giant scorpions,,,59,,,,,,,,,,43,45,,,38,45
Giant snapping turtle,64,67,,,,,,,,,61,62,,,59,60,,
Giant wasps,,,60,,29,,24,,64,65,63,,46,48,61,62,,
Girallons,,,61,62,30,31,,,66,70,,,49,50,,,,
Goblins,,,63,64,32,33,,,,,,,51,52,,,,
Grungs,,,65,66,34,35,,,,,64,66,,,63,64,,
Jaculis,,,67,,,,,,,,67,,53,54,,,,
Kamadans,,,68,,,,,,,,,,55,57,,,,
Lizardfolk,68,71,69,70,,,,,,,68,,58,,65,66,,
Mad monkey mist,,,71,72,36,39,,,,,69,70,59,60,67,69,,
Magmins,,,,,,,,,,,,,,,,,46,54
Mantraps,,,73,,40,41,25,,,,,,,,,,,
Mephits,,,,,,,,,,,,,,,70,,55,71
Night hag,,,74,,42,,,,71,73,,,61,,71,,72,78
Pterafolk,,,75,,43,44,26,,74,80,71,72,,,,,,
Rare plant(s),,,76,,45,,27,,,,73,,62,,72,,,
Red Wizard,72,74,77,,46,,28,,81,,74,,63,,,,,
Salamander,,,,,,,,,,,,,,,,,,
Sea hags,75,84,,,,,,,,,75,76,,,,,,
Shambling mound,,,,,,,,,,,,,,,73,76,,
"Snake, constrictor",,,78,79,47,48,29,31,,,77,79,,,77,80,,
"Snake, giant constrictor",,,80,,49,,32,,,,80,,,,81,82,,
"Snake, giant poisonous",,,81,,50,,33,,82,84,,,64,66,,,,
Spiders,,,82,,51,52,34,36,,,,,67,68,,,,
Statue of Ubtao,,,83,85,53,55,37,40,,,81,,69,73,83,85,79,
Stirges,85,87,86,,56,57,41,44,85,87,82,83,74,75,86,87,,
Su-monsters,,,87,,58,59,45,,,,,,,,,,,
Swarms of bats,88,89,88,,60,62,46,,88,90,,,76,77,88,89,,
Swarms of insects,,,89,,63,65,47,49,,,84,85,,,90,94,,
Swarms of quippers,,,,,,,,,,,86,91,,,,,,
Tabaxi hunter,90,94,90,,,,,,91,92,92,93,78,,,,,
Tiger,,,91,,,,,,,,,,,,,,,
Tri-flower frond,95,100,92,,66,,50,,,,,,79,80,,,,
Troll,,,,,67,,51,,93,97,,,81,,,,80,83
"Undead, ghouls",,,,,68,72,52,63,,,94,,82,84,95,,84,85
"Undead, skeletons",,,,,73,77,64,67,,,95,,85,87,96,97,86,95
"Undead, specter",,,,,78,79,68,70,,,,,88,89,,,,
"Undead, wight",,,,,80,,71,73,,,,,90,91,,,96,97
"Undead, zombies",,,,,81,89,74,85,,,96,,92,93,98,,98,
Vegepygmies,,,93,,90,91,86,87,,,,,,,,,,
Wereboar,,,94,,92,,88,89,98,100,,,,,,,,
Weretiger,,,95,,93,,90,91,,,,,94,,,,,
Winterscape,,,96,,94,,92,,,,,,95,,,,,
Yellow musk creeper and zombies,,,97,,95,96,93,96,,,,,96,,99,,,
Yuan-ti,,,98,,97,98,97,98,,,97,98,97,98,100,,,
Zhentarim,,,99,,99,,,,,,99,100,99,100,,,99,100
Zorbos,,,100,,100,,99,100,,,,,,,,,,
